"state","date","total_sales","total_transactions","q25th","median","avg_price","q75th","min_price","max_price"
"AM","2018-01",2925,12,44,62,244,184,20,1688
"AM","2018-02",2028,13,47,84,156,139,28,580
"AM","2018-03",1118,11,45,70,102,108,14,399
"AM","2018-04",667,6,52,105,111,150,18,240
"AM","2018-05",1811,9,29,80,201,110,16,1191
"AM","2018-06",924,10,42,55,92,110,42,300
"AM","2018-07",2004,21,48,90,95,135,22,199
"AM","2018-08",380,4,57,90,95,128,50,150
"AP","2017-02",549,6,40,40,92,40,40,350
"AP","2017-03",303,4,64,86,76,98,33,98
"AP","2017-05",1320,5,116,130,264,385,99,590
"AP","2017-06",252,3,76,100,84,100,53,100
"AP","2017-07",259,1,260,260,260,260,260,260
"AP","2017-08",289,4,30,30,72,72,30,200
"AP","2017-09",364,4,90,90,91,91,90,95
"AP","2017-10",1591,3,77,110,531,773,45,1437
"AP","2017-11",511,5,75,104,102,104,50,178
"AP","2017-12",601,4,107,149,150,192,105,199
"AP","2018-01",2393,13,49,99,184,199,14,679
"AP","2018-02",1007,2,357,504,504,651,210,798
"AP","2018-03",535,5,57,75,107,140,25,239
"AP","2018-04",822,6,81,144,137,200,46,210
"AP","2018-05",955,7,113,130,137,150,100,200
"AP","2018-06",167,2,76,84,84,92,67,100
"AP","2018-07",1350,6,76,82,225,114,39,950
"AP","2018-08",194,2,96,97,97,98,95,99
"BA","2016-10",894,4,46,112,224,290,20,649
"BA","2017-01",3956,30,46,96,132,155,25,590
"BA","2017-02",7087,63,60,100,113,140,19,390
"BA","2017-03",15942,107,40,90,149,165,8,1450
"BA","2017-04",18681,108,45,90,173,182,6,2951
"BA","2017-05",16668,151,37,70,110,119,6,1000
"BA","2017-06",20988,124,40,65,169,149,10,3000
"BA","2017-07",19289,161,43,77,120,150,6,1597
"BA","2017-08",28921,178,50,90,162,166,9,2649
"BA","2017-09",23947,191,50,80,125,150,13,908
"BA","2017-10",24734,188,48,79,132,143,16,1600
"BA","2017-11",29137,297,36,70,98,139,6,600
"BA","2017-12",28372,211,40,85,134,150,7,1340
"BA","2018-01",37066,264,40,80,140,138,5,2029
"BA","2018-02",32147,253,39,70,127,130,8,1659
"BA","2018-03",36810,288,44,90,128,150,12,989
"BA","2018-04",31937,249,50,85,128,150,8,1590
"BA","2018-05",35174,278,42,80,127,144,9,2689
"BA","2018-06",35099,220,42,97,160,149,13,1899
"BA","2018-07",42646,262,50,99,163,171,9,2258
"BA","2018-08",21846,172,47,90,127,170,7,799
"CE","2016-10",1689,7,75,120,241,375,40,630
"CE","2017-01",1049,9,47,80,117,155,34,279
"CE","2017-02",2095,14,39,71,150,170,24,690
"CE","2017-03",5969,27,46,90,221,279,8,1375
"CE","2017-04",5759,45,35,90,128,180,15,739
"CE","2017-05",10466,66,46,100,159,187,14,1000
"CE","2017-06",10060,46,47,106,219,204,12,2690
"CE","2017-07",7759,60,45,80,129,141,11,1050
"CE","2017-08",10642,82,45,80,130,155,15,900
"CE","2017-09",16891,94,60,100,180,177,20,1400
"CE","2017-10",12399,71,56,116,175,217,20,1340
"CE","2017-11",18655,123,49,90,152,174,14,1437
"CE","2017-12",11116,85,59,85,131,149,13,699
"CE","2018-01",13828,109,40,83,127,165,8,800
"CE","2018-02",11115,103,40,80,108,150,12,599
"CE","2018-03",18385,117,46,90,157,170,13,989
"CE","2018-04",17349,106,47,85,164,163,15,1699
"CE","2018-05",11945,74,50,99,161,167,15,1790
"CE","2018-06",16549,83,55,105,199,179,9,2140
"CE","2018-07",14068,96,50,95,147,192,9,795
"CE","2018-08",9457,61,65,115,155,150,12,1350
"DF","2016-10",1043,8,47,54,130,70,35,649
"DF","2017-01",1826,15,29,60,122,99,7,869
"DF","2017-02",10306,25,88,120,412,160,20,3700
"DF","2017-03",6970,63,31,65,111,114,5,1310
"DF","2017-04",7527,41,35,73,184,157,10,3999
"DF","2017-05",7953,70,43,79,114,130,16,959
"DF","2017-06",8325,84,25,62,99,101,7,1181
"DF","2017-07",10828,97,35,65,112,135,15,898
"DF","2017-08",9863,99,45,69,100,119,10,1200
"DF","2017-09",13319,113,39,60,118,119,14,1600
"DF","2017-10",13093,109,36,75,120,154,13,799
"DF","2017-11",27759,182,46,99,153,180,6,1340
"DF","2017-12",16965,153,40,79,111,129,6,1350
"DF","2018-01",17736,154,50,79,115,139,13,895
"DF","2018-02",21205,190,44,80,112,145,9,780
"DF","2018-03",20955,167,39,80,125,133,10,1150
"DF","2018-04",18812,168,40,80,112,139,10,899
"DF","2018-05",25461,162,54,92,157,156,14,2699
"DF","2018-06",19985,163,44,75,123,123,9,1689
"DF","2018-07",22719,184,40,73,123,129,11,1788
"DF","2018-08",19941,159,41,79,125,144,14,899
"ES","2016-10",917,4,67,85,229,247,58,690
"ES","2017-01",2255,11,33,65,205,263,15,720
"ES","2017-02",4630,39,54,90,119,177,15,566
"ES","2017-03",4985,52,59,93,96,125,19,350
"ES","2017-04",5475,50,35,88,110,157,14,490
"ES","2017-05",13184,107,40,89,123,138,6,890
"ES","2017-06",10345,90,40,89,115,127,10,899
"ES","2017-07",7219,95,35,60,76,90,14,280
"ES","2017-08",13158,106,47,90,124,169,13,829
"ES","2017-09",11235,106,43,65,106,152,16,659
"ES","2017-10",10380,108,46,70,96,102,10,978
"ES","2017-11",24302,195,45,75,125,130,10,1700
"ES","2017-12",12606,115,47,70,110,135,9,899
"ES","2018-01",20444,161,40,80,127,150,10,1089
"ES","2018-02",17045,166,42,79,103,136,12,700
"ES","2018-03",17391,146,40,68,119,148,13,1776
"ES","2018-04",16542,160,40,77,103,119,10,799
"ES","2018-05",19004,156,44,75,122,146,7,1050
"ES","2018-06",17152,139,44,80,123,128,7,1880
"ES","2018-07",30146,136,38,90,222,151,13,6729
"ES","2018-08",16610,114,45,80,146,160,10,1326
"GO","2016-10",984,8,48,65,123,159,42,340
"GO","2017-01",4227,34,51,51,124,119,20,1299
"GO","2017-02",2331,29,22,35,80,98,6,449
"GO","2017-03",8704,55,43,101,158,144,12,1199
"GO","2017-04",5495,48,56,71,114,99,11,849
"GO","2017-05",16615,96,52,104,173,196,12,2740
"GO","2017-06",9395,86,40,68,109,131,4,572
"GO","2017-07",8923,83,40,90,108,129,6,667
"GO","2017-08",14402,126,50,90,114,116,7,900
"GO","2017-09",13974,104,44,84,134,143,7,1099
"GO","2017-10",17490,130,50,89,135,144,13,899
"GO","2017-11",21079,183,39,79,115,136,11,790
"GO","2017-12",15861,138,39,80,115,130,10,1200
"GO","2018-01",16879,171,38,68,99,120,13,950
"GO","2018-02",17921,176,33,59,102,123,11,700
"GO","2018-03",19347,175,50,84,111,129,11,530
"GO","2018-04",19087,147,45,80,130,144,13,1166
"GO","2018-05",24194,159,54,100,152,147,14,2170
"GO","2018-06",14358,112,43,73,128,153,12,750
"GO","2018-07",25253,142,40,99,178,165,10,2300
"GO","2018-08",18063,131,45,80,138,139,11,2029
"MA","2016-10",704,9,78,78,78,78,20,177
"MA","2017-01",618,7,49,55,88,68,18,310
"MA","2017-02",895,11,50,79,81,104,24,170
"MA","2017-03",1975,28,27,57,71,101,19,279
"MA","2017-04",3243,28,40,53,116,150,19,499
"MA","2017-05",3440,34,40,86,101,147,14,350
"MA","2017-06",1779,17,32,49,105,150,16,450
"MA","2017-07",6481,41,57,104,158,190,14,1122
"MA","2017-08",6121,43,37,70,142,121,20,1200
"MA","2017-09",9519,46,42,95,207,212,13,1350
"MA","2017-10",10335,57,57,100,181,190,20,1600
"MA","2017-11",10002,63,49,85,159,147,16,2199
"MA","2017-12",5820,45,59,95,129,170,17,599
"MA","2018-01",8782,65,50,94,135,170,7,800
"MA","2018-02",9877,59,47,113,167,222,10,690
"MA","2018-03",8355,66,48,75,127,144,14,1635
"MA","2018-04",7929,49,40,90,162,190,9,915
"MA","2018-05",7084,40,50,98,177,137,14,2500
"MA","2018-06",5979,44,44,99,136,174,22,569
"MA","2018-07",6455,42,68,124,154,200,14,595
"MA","2018-08",4246,30,60,82,142,167,13,749
"MG","2016-10",4811,48,38,55,100,132,20,380
"MG","2017-01",16241,134,40,80,121,143,9,859
"MG","2017-02",29695,287,35,68,103,139,6,969
"MG","2017-03",42193,412,33,68,102,110,8,3000
"MG","2017-04",41257,309,39,70,134,144,13,1549
"MG","2017-05",50157,470,39,69,107,127,6,1799
"MG","2017-06",46655,402,39,67,116,120,6,2500
"MG","2017-07",54766,491,47,80,112,149,8,899
"MG","2017-08",59981,536,40,70,112,120,7,1200
"MG","2017-09",72839,568,45,79,128,150,6,1890
"MG","2017-10",82011,640,38,65,128,122,5,1980
"MG","2017-11",134288,1089,40,65,123,133,6,2399
"MG","2017-12",93138,786,41,75,118,130,4,2000
"MG","2018-01",115102,982,45,83,117,139,5,3690
"MG","2018-02",107648,899,46,77,120,130,5,3100
"MG","2018-03",120025,989,40,75,121,136,8,4100
"MG","2018-04",111476,890,43,80,125,131,6,2800
"MG","2018-05",103571,894,46,80,116,135,5,1990
"MG","2018-06",106078,824,43,89,129,140,4,1999
"MG","2018-07",97627,717,46,85,136,149,7,4059
"MG","2018-08",95736,762,46,80,126,136,9,3099
"MS","2017-01",149,1,149,149,149,149,149,149
"MS","2017-02",7519,12,46,70,627,115,22,6735
"MS","2017-03",6452,22,60,99,293,175,19,3000
"MS","2017-04",1904,17,35,99,112,125,14,420
"MS","2017-05",3387,29,39,89,117,153,17,349
"MS","2017-06",3807,31,44,60,123,125,20,1250
"MS","2017-07",3722,29,54,87,128,149,17,1160
"MS","2017-08",3841,27,87,120,142,175,17,420
"MS","2017-09",4902,33,60,105,149,170,14,887
"MS","2017-10",6267,45,38,55,139,109,20,1490
"MS","2017-11",6249,54,37,67,116,102,9,1050
"MS","2017-12",5408,40,71,118,135,152,29,559
"MS","2018-01",10100,79,36,87,128,127,13,1599
"MS","2018-02",8593,77,38,70,112,140,14,562
"MS","2018-03",7398,66,39,60,112,127,13,899
"MS","2018-04",5875,52,30,77,113,136,7,750
"MS","2018-05",9981,51,40,84,196,124,14,2063
"MS","2018-06",8887,59,40,70,151,120,10,1500
"MS","2018-07",6810,55,49,90,124,134,6,896
"MS","2018-08",5551,40,39,78,139,162,10,1309
"MT","2016-10",327,3,24,24,109,152,24,280
"MT","2017-01",1976,15,99,113,132,145,15,449
"MT","2017-02",2988,20,36,75,149,108,13,1250
"MT","2017-03",2157,22,37,85,98,120,12,406
"MT","2017-04",3724,29,28,65,128,125,13,810
"MT","2017-05",6731,40,50,97,168,142,17,849
"MT","2017-06",4326,25,49,100,173,180,12,1200
"MT","2017-07",10288,42,50,97,245,170,20,1705
"MT","2017-08",6709,46,46,73,146,125,10,999
"MT","2017-09",6940,45,45,73,154,144,13,1550
"MT","2017-10",10749,63,50,100,171,210,16,1340
"MT","2017-11",11431,88,48,90,130,156,13,950
"MT","2017-12",9626,54,60,115,178,236,20,950
"MT","2018-01",12274,97,36,70,127,150,13,1599
"MT","2018-02",8172,71,46,90,115,147,11,536
"MT","2018-03",8638,67,44,80,129,164,11,629
"MT","2018-04",11544,69,57,104,167,199,10,1107
"MT","2018-05",12261,79,38,90,155,144,14,1890
"MT","2018-06",10335,70,48,97,148,165,15,600
"MT","2018-07",10599,60,48,102,177,196,15,887
"MT","2018-08",4648,50,29,65,93,127,7,500
"PA","2016-10",1087,6,60,74,181,164,60,630
"PA","2017-01",2226,13,60,120,171,300,20,399
"PA","2017-02",9901,29,66,120,341,160,20,3980
"PA","2017-03",7647,41,70,99,187,178,19,1380
"PA","2017-04",4776,41,30,80,116,164,14,560
"PA","2017-05",5404,35,49,70,154,132,12,1169
"PA","2017-06",5730,38,30,57,151,186,12,1500
"PA","2017-07",5459,45,50,101,121,149,9,746
"PA","2017-08",14765,65,40,139,227,260,11,1200
"PA","2017-09",6218,46,40,62,135,147,13,1000
"PA","2017-10",6751,59,40,66,114,140,9,730
"PA","2017-11",11704,78,49,96,150,165,14,1599
"PA","2017-12",10420,61,45,95,171,190,6,1500
"PA","2018-01",14114,77,49,123,183,200,7,1200
"PA","2018-02",8943,69,40,94,130,129,13,880
"PA","2018-03",13208,80,53,91,165,159,5,1200
"PA","2018-04",11649,81,50,100,144,170,13,1107
"PA","2018-05",7455,45,50,93,166,179,18,1209
"PA","2018-06",9358,60,58,116,156,170,15,1500
"PA","2018-07",13195,61,50,106,216,220,10,2199
"PA","2018-08",8928,50,50,107,179,180,17,1199
"PB","2016-10",49,1,50,50,50,50,50,50
"PB","2017-01",409,2,132,205,205,277,60,350
"PB","2017-02",2169,12,57,107,181,292,21,450
"PB","2017-03",4387,18,49,100,244,167,25,2200
"PB","2017-04",2957,22,36,60,134,160,5,594
"PB","2017-05",2899,20,31,77,145,129,17,689
"PB","2017-06",6182,25,69,99,247,220,40,1160
"PB","2017-07",4635,35,65,105,132,197,14,321
"PB","2017-08",2324,21,49,66,111,100,25,572
"PB","2017-09",5499,34,51,87,162,167,25,1199
"PB","2017-10",10284,31,94,146,332,326,15,1989
"PB","2017-11",4567,30,61,86,152,171,19,750
"PB","2017-12",5585,41,46,90,136,139,25,599
"PB","2018-01",6800,33,42,89,206,150,19,1850
"PB","2018-02",4750,43,39,70,110,140,14,655
"PB","2018-03",6086,51,29,99,119,165,13,579
"PB","2018-04",4413,32,52,105,138,140,18,699
"PB","2018-05",4860,30,49,120,162,186,15,900
"PB","2018-06",12993,29,62,170,448,513,12,4590
"PB","2018-07",15657,62,73,130,253,193,28,3089
"PB","2018-08",7751,30,78,148,258,290,20,2090
"PE","2016-10",1369,7,75,120,196,200,50,649
"PE","2017-01",1884,9,113,165,209,215,35,659
"PE","2017-02",2781,21,55,85,132,120,10,598
"PE","2017-03",7192,48,50,89,150,141,15,1099
"PE","2017-04",4259,41,30,60,104,93,13,669
"PE","2017-05",10419,74,39,85,141,124,12,1899
"PE","2017-06",5804,46,51,80,126,134,19,890
"PE","2017-07",9880,86,40,79,115,127,6,1005
"PE","2017-08",13074,93,53,75,141,150,15,1999
"PE","2017-09",15077,88,43,90,171,166,7,1650
"PE","2017-10",17426,85,65,120,205,210,17,1989
"PE","2017-11",19658,148,49,79,133,139,11,2990
"PE","2017-12",16128,118,50,87,137,150,11,800
"PE","2018-01",14993,112,37,66,134,137,9,1599
"PE","2018-02",17338,134,49,87,129,160,15,734
"PE","2018-03",22861,115,50,100,199,219,8,3700
"PE","2018-04",17662,130,49,97,136,170,12,948
"PE","2018-05",13774,114,49,92,121,150,11,595
"PE","2018-06",14790,101,50,100,146,170,10,890
"PE","2018-07",24482,144,69,123,170,199,13,890
"PE","2018-08",11927,92,52,112,130,167,11,528
"PI","2016-10",210,1,210,210,210,210,210,210
"PI","2017-01",1250,7,31,110,179,194,22,669
"PI","2017-02",3133,14,31,67,224,99,14,1099
"PI","2017-03",2106,16,59,97,132,195,25,449
"PI","2017-04",2496,13,69,120,192,189,14,999
"PI","2017-05",5972,30,72,124,199,259,13,800
"PI","2017-06",2147,14,111,131,153,155,45,420
"PI","2017-07",2202,21,60,85,105,127,17,300
"PI","2017-08",4626,25,90,130,185,220,29,748
"PI","2017-09",3146,24,64,87,131,125,17,730
"PI","2017-10",4047,26,77,105,156,201,19,600
"PI","2017-11",2707,32,33,55,85,98,14,495
"PI","2017-12",2646,25,44,79,106,167,13,296
"PI","2018-01",6724,50,38,71,134,150,14,1695
"PI","2018-02",4439,41,49,90,108,111,14,700
"PI","2018-03",6642,39,84,123,170,182,14,999
"PI","2018-04",10774,40,77,149,269,269,15,1780
"PI","2018-05",6845,41,49,95,167,199,20,735
"PI","2018-06",4845,30,77,124,162,190,25,579
"PI","2018-07",6933,32,66,125,217,212,15,1099
"PI","2018-08",3013,21,65,105,143,170,26,528
"PR","2016-10",2004,29,40,50,69,80,19,300
"PR","2016-12",10,1,11,11,11,11,11,11
"PR","2017-01",5486,71,11,24,77,85,3,443
"PR","2017-02",18623,129,40,90,144,160,10,1169
"PR","2017-03",15733,142,35,65,111,128,6,849
"PR","2017-04",15958,127,38,78,126,131,11,1000
"PR","2017-05",31769,249,39,68,128,139,6,2799
"PR","2017-06",21538,185,40,70,116,130,5,1390
"PR","2017-07",24569,227,40,70,108,133,4,1000
"PR","2017-08",28561,252,37,69,113,136,7,800
"PR","2017-09",22575,207,35,65,109,124,5,1600
"PR","2017-10",33400,243,43,72,137,146,14,3000
"PR","2017-11",46853,446,43,72,105,134,5,1250
"PR","2017-12",30122,284,42,70,106,123,8,1899
"PR","2018-01",44872,432,40,75,104,120,9,1054
"PR","2018-02",45674,385,40,73,119,123,6,1899
"PR","2018-03",51081,431,45,72,119,127,7,1799
"PR","2018-04",66637,459,49,92,145,150,9,2300
"PR","2018-05",46569,352,42,79,132,144,6,2218
"PR","2018-06",42281,350,39,79,121,126,4,2300
"PR","2018-07",47452,372,39,78,128,140,7,2338
"PR","2018-08",41305,367,42,70,113,130,10,2350
"RJ","2016-10",11246,55,59,90,204,250,6,1399
"RJ","2017-01",12683,108,41,70,117,129,11,1299
"RJ","2017-02",32466,283,46,90,115,139,5,790
"RJ","2017-03",55699,440,45,80,127,132,6,2498
"RJ","2017-04",57889,371,45,89,156,140,11,4799
"RJ","2017-05",74628,562,42,80,133,135,6,2110
"RJ","2017-06",54452,445,40,75,122,130,9,2000
"RJ","2017-07",78618,637,44,70,123,135,10,3000
"RJ","2017-08",78662,633,45,70,124,135,6,1359
"RJ","2017-09",95045,700,40,77,136,138,6,1680
"RJ","2017-10",97252,768,45,83,127,140,6,3000
"RJ","2017-11",150539,1212,46,83,124,140,5,2400
"RJ","2017-12",118260,870,50,90,136,150,8,2650
"RJ","2018-01",122212,1022,42,84,120,140,5,2110
"RJ","2018-02",117796,1053,40,72,112,130,4,1500
"RJ","2018-03",117848,1040,40,80,113,139,8,1360
"RJ","2018-04",123281,964,43,80,128,148,1,2110
"RJ","2018-05",126971,971,40,80,131,140,6,3930
"RJ","2018-06",102798,818,49,80,126,141,8,2110
"RJ","2018-07",99973,810,47,80,123,140,8,2000
"RJ","2018-08",95762,817,43,76,117,130,3,2300
"RN","2016-10",728,5,148,162,146,200,19,200
"RN","2017-01",1124,5,130,150,225,165,44,636
"RN","2017-02",398,10,24,31,40,47,10,110
"RN","2017-03",1741,13,46,127,134,199,20,350
"RN","2017-04",1243,12,41,87,104,114,36,293
"RN","2017-05",4683,20,56,142,234,222,25,1087
"RN","2017-06",1241,12,53,95,103,150,17,248
"RN","2017-07",3193,29,45,94,110,110,14,699
"RN","2017-08",2545,22,50,91,116,150,20,325
"RN","2017-09",3445,28,49,77,123,164,19,660
"RN","2017-10",4202,26,76,135,162,193,18,610
"RN","2017-11",8469,49,49,85,173,230,14,1300
"RN","2017-12",3168,33,34,66,96,123,24,559
"RN","2018-01",5807,49,34,80,119,150,15,569
"RN","2018-02",3204,26,27,70,123,164,13,750
"RN","2018-03",7383,42,40,91,176,193,13,987
"RN","2018-04",6001,35,65,100,171,175,14,1000
"RN","2018-05",4233,25,40,70,169,140,15,1693
"RN","2018-06",6563,37,50,105,177,150,14,1300
"RN","2018-07",8415,31,53,156,271,240,25,1788
"RN","2018-08",5236,20,45,110,262,218,30,1750
"RO","2017-01",682,3,142,183,227,291,100,399
"RO","2017-02",1622,13,24,70,125,120,10,599
"RO","2017-03",1864,22,28,45,85,127,19,314
"RO","2017-04",1077,9,70,109,120,125,20,356
"RO","2017-05",551,8,44,68,69,101,16,118
"RO","2017-06",1800,13,46,51,139,160,20,571
"RO","2017-07",1083,10,30,93,108,149,15,258
"RO","2017-08",2236,17,22,32,132,70,17,1200
"RO","2017-09",4197,20,58,97,210,174,26,1300
"RO","2017-10",1657,15,32,140,111,148,24,250
"RO","2017-11",5852,18,127,160,325,274,20,2400
"RO","2017-12",1949,12,40,50,162,91,17,1165
"RO","2018-01",2286,22,60,83,104,177,13,230
"RO","2018-02",1579,14,58,94,113,127,20,284
"RO","2018-03",2726,14,65,121,195,202,19,999
"RO","2018-04",3499,11,83,150,318,235,49,1999
"RO","2018-05",2255,20,38,67,113,152,14,385
"RO","2018-06",1921,12,28,121,160,252,22,555
"RO","2018-07",4503,16,70,118,281,162,22,1430
"RO","2018-08",2789,9,87,172,310,229,39,1320
"RR","2016-09",72,2,35,36,36,38,33,40
"RR","2016-10",39,1,40,40,40,40,40,40
"RR","2017-02",50,2,25,25,25,26,24,27
"RR","2017-03",270,2,85,135,135,186,35,236
"RR","2017-04",48,2,22,24,24,27,19,30
"RR","2017-05",233,3,76,82,78,82,70,82
"RR","2017-06",93,3,24,32,31,38,17,45
"RR","2017-07",179,1,180,180,180,180,180,180
"RR","2017-09",39,1,40,40,40,40,40,40
"RR","2017-10",388,3,95,130,130,164,60,199
"RR","2017-11",98,2,31,49,49,67,14,85
"RR","2018-01",218,2,100,109,109,119,90,129
"RR","2018-02",199,5,30,30,40,39,30,70
"RR","2018-03",2244,6,147,254,374,477,123,950
"RR","2018-04",712,2,185,356,356,528,14,699
"RR","2018-05",89,1,90,90,90,90,90,90
"RR","2018-06",1331,7,150,202,190,223,125,260
"RR","2018-07",1514,7,168,220,216,270,70,349
"RS","2016-09",59,1,60,60,60,60,60,60
"RS","2016-10",4082,25,50,129,163,195,22,950
"RS","2017-01",12189,65,24,63,188,131,10,2200
"RS","2017-02",15832,115,40,70,138,132,7,1323
"RS","2017-03",20129,162,40,94,124,170,13,1301
"RS","2017-04",19248,156,45,79,123,130,9,1375
"RS","2017-05",28407,233,35,75,122,130,11,1878
"RS","2017-06",23969,259,37,69,93,130,10,439
"RS","2017-07",29347,276,40,80,106,131,6,700
"RS","2017-08",34295,324,40,66,106,128,9,1200
"RS","2017-09",37202,317,40,70,117,130,7,1300
"RS","2017-10",37571,300,49,80,125,148,7,1157
"RS","2017-11",58699,482,40,75,122,132,6,2029
"RS","2017-12",42179,316,50,79,133,140,7,3124
"RS","2018-01",48482,423,41,70,115,137,10,1997
"RS","2018-02",46782,429,48,70,109,123,6,1688
"RS","2018-03",57558,464,48,79,124,140,5,1449
"RS","2018-04",52500,392,45,79,134,149,6,2110
"RS","2018-05",50841,417,48,80,122,150,9,1360
"RS","2018-06",44093,341,39,80,129,148,7,1449
"RS","2018-07",43688,371,40,70,118,120,3,2300
"RS","2018-08",43141,367,49,82,118,155,12,2350
"SC","2016-10",2373,14,65,142,170,150,30,740
"SC","2017-01",6661,39,28,90,171,215,12,756
"SC","2017-02",6937,63,30,58,110,119,8,960
"SC","2017-03",18338,121,38,85,152,140,5,2130
"SC","2017-04",11762,124,32,60,95,112,8,870
"SC","2017-05",23516,171,42,74,138,130,9,1697
"SC","2017-06",13323,131,35,60,102,110,11,690
"SC","2017-07",19478,185,45,70,105,129,10,970
"SC","2017-08",22351,179,38,80,125,149,10,1380
"SC","2017-09",25815,174,55,80,148,175,9,1600
"SC","2017-10",21022,189,45,69,111,128,14,670
"SC","2017-11",40312,354,39,60,114,121,7,2000
"SC","2017-12",24234,205,50,79,118,140,10,1199
"SC","2018-01",38851,355,40,83,109,130,6,1599
"SC","2018-02",32255,301,39,78,107,130,12,1199
"SC","2018-03",36672,290,41,75,126,123,10,2899
"SC","2018-04",44612,307,45,90,145,149,6,3105
"SC","2018-05",35731,269,42,80,133,140,4,2471
"SC","2018-06",32740,246,45,90,133,139,9,1890
"SC","2018-07",31203,219,45,80,142,140,13,3110
"SC","2018-08",32355,240,47,79,135,135,7,2338
"SE","2016-10",285,3,62,66,95,114,58,162
"SE","2017-01",263,4,51,63,66,78,25,113
"SE","2017-02",1861,15,40,65,124,169,20,398
"SE","2017-03",2498,28,35,60,89,95,21,430
"SE","2017-04",2595,14,52,112,185,197,18,680
"SE","2017-05",681,12,36,55,57,80,16,110
"SE","2017-06",1456,10,123,144,146,163,78,210
"SE","2017-07",1372,13,60,80,106,120,40,350
"SE","2017-08",4821,22,52,75,219,200,20,1300
"SE","2017-09",2815,17,60,148,166,212,20,610
"SE","2017-10",4294,23,60,90,187,159,16,899
"SE","2017-11",5579,28,47,109,199,316,25,649
"SE","2017-12",3147,27,58,75,117,99,18,559
"SE","2018-01",3060,21,50,68,146,134,22,820
"SE","2018-02",4486,21,66,107,214,150,14,1315
"SE","2018-03",2557,21,53,85,122,138,23,392
"SE","2018-04",3210,14,70,100,229,183,14,1670
"SE","2018-05",1083,9,80,85,120,180,50,198
"SE","2018-06",3849,33,60,90,117,150,20,364
"SE","2018-07",4442,27,76,123,165,197,20,780
"SE","2018-08",4558,23,70,144,198,224,22,1349
"SP","2016-09",134,3,45,45,45,45,45,45
"SP","2016-10",14575,123,40,75,119,130,10,1199
"SP","2017-01",41534,364,31,60,114,130,4,2999
"SP","2017-02",78686,706,35,66,111,120,6,1890
"SP","2017-03",138087,1128,35,69,122,127,6,4000
"SP","2017-04",132634,1018,34,73,130,130,5,4690
"SP","2017-05",176912,1586,38,70,112,125,4,6499
"SP","2017-06",173887,1470,37,70,118,129,3,2649
"SP","2017-07",184714,1822,37,66,101,127,1,2000
"SP","2017-08",198754,1966,36,60,101,119,4,1816
"SP","2017-09",218377,1817,40,71,120,138,2,1890
