"state","date","day","hour"
"SP","2018-08","Saturday ","10"
"SP","2018-06","Thursday ","09"
"SP","2018-08","Monday   ","22"
"SP","2018-04","Friday   ","14"
"SP","2017-05","Friday   ","05"
"SP","2018-08","Saturday ","14"
"CE","2017-09","Wednesday","21"
"SP","2017-11","Tuesday  ","11"
"SP","2017-11","Monday   ","22"
"SC","2017-12","Wednesday","20"
"SC","2017-06","Monday   ","15"
"PE","2018-07","Thursday ","13"
"PA","2017-01","Monday   ","23"
"SP","2018-03","Wednesday","22"
"RJ","2017-10","Monday   ","10"
"SC","2017-05","Monday   ","21"
"RJ","2017-09","Monday   ","22"
"SP","2017-08","Sunday   ","16"
"SP","2017-12","Saturday ","12"
"MG","2017-10","Thursday ","15"
"SP","2018-07","Wednesday","21"
"SP","2018-07","Wednesday","21"
"SP","2018-04","Monday   ","16"
"PR","2018-02","Saturday ","22"
"SC","2018-05","Wednesday","09"
"RS","2018-05","Tuesday  ","23"
"SP","2018-05","Thursday ","16"
"RN","2018-06","Thursday ","00"
"SP","2017-05","Wednesday","08"
"SP","2018-05","Tuesday  ","08"
"RJ","2018-06","Tuesday  ","00"
"SP","2018-02","Monday   ","22"
"DF","2017-05","Thursday ","06"
"SP","2018-07","Tuesday  ","11"
"SP","2018-04","Wednesday","14"
"SP","2018-04","Wednesday","14"
"SP","2018-03","Sunday   ","20"
"MG","2018-04","Monday   ","22"
"SP","2018-07","Thursday ","21"
"TO","2018-06","Monday   ","11"
"SP","2017-04","Thursday ","10"
"SP","2017-04","Thursday ","10"
"SP","2017-04","Thursday ","10"
"PR","2017-09","Wednesday","16"
"SC","2017-08","Wednesday","11"
"SC","2017-08","Wednesday","11"
"PE","2016-10","Wednesday","15"
"SP","2018-05","Wednesday","18"
"BA","2017-06","Wednesday","23"
"BA","2017-06","Wednesday","23"
"RS","2017-10","Sunday   ","18"
"PR","2018-02","Thursday ","12"
"GO","2018-04","Monday   ","09"
"MG","2018-04","Saturday ","15"
"MG","2018-06","Tuesday  ","08"
"MG","2018-06","Tuesday  ","08"
"PB","2017-08","Friday   ","11"
"PB","2017-08","Friday   ","11"
"PB","2017-08","Friday   ","11"
"RJ","2017-08","Wednesday","14"
"MG","2018-02","Tuesday  ","20"
"MG","2018-02","Tuesday  ","20"
"MG","2018-02","Tuesday  ","20"
"RJ","2018-02","Wednesday","11"
"MG","2017-07","Tuesday  ","13"
"SP","2018-05","Thursday ","16"
"SP","2018-06","Friday   ","00"
"MG","2018-04","Friday   ","08"
"SP","2017-07","Tuesday  ","09"
"PR","2018-04","Wednesday","17"
"PE","2017-02","Tuesday  ","10"
"SP","2017-12","Sunday   ","20"
"MG","2018-08","Monday   ","22"
"ES","2018-01","Monday   ","08"
"RJ","2018-04","Monday   ","10"
"SP","2018-03","Saturday ","22"
"SP","2017-06","Sunday   ","19"
"RN","2017-03","Monday   ","20"
"RJ","2017-10","Saturday ","16"
"SP","2017-11","Sunday   ","22"
"SE","2018-07","Monday   ","15"
"MG","2018-08","Wednesday","13"
"RJ","2017-05","Sunday   ","21"
"SP","2018-07","Tuesday  ","12"
"PR","2018-04","Monday   ","14"
"SP","2017-11","Thursday ","21"
"PR","2017-12","Monday   ","10"
"SP","2017-07","Friday   ","00"
"SP","2017-05","Tuesday  ","18"
"SP","2017-05","Tuesday  ","18"
"MG","2018-01","Sunday   ","20"
"SP","2018-05","Saturday ","19"
"SP","2018-05","Monday   ","13"
"MT","2018-03","Friday   ","00"
"SP","2018-03","Monday   ","13"
"SC","2017-11","Friday   ","08"
"PR","2018-07","Monday   ","20"
"MG","2017-10","Friday   ","16"
"MG","2018-01","Tuesday  ","16"
"SP","2017-03","Wednesday","08"
"SP","2017-03","Wednesday","08"
"SP","2017-09","Saturday ","01"
"PB","2018-04","Thursday ","16"
"RJ","2017-05","Monday   ","18"
"SP","2017-08","Wednesday","16"
"SP","2017-08","Wednesday","16"
"RJ","2017-04","Monday   ","19"
"SP","2018-04","Wednesday","11"
"SP","2018-07","Wednesday","12"
"SP","2018-05","Wednesday","09"
"SP","2018-05","Monday   ","11"
"SP","2018-05","Monday   ","11"
"SP","2018-05","Monday   ","11"
"RJ","2018-04","Tuesday  ","09"
"MG","2018-03","Friday   ","23"
"RS","2018-03","Monday   ","12"
"SP","2018-04","Thursday ","12"
"MS","2017-06","Thursday ","20"
"MG","2017-09","Wednesday","21"
"SP","2017-11","Friday   ","22"
"PR","2017-11","Tuesday  ","12"
"MG","2017-06","Tuesday  ","13"
"MG","2017-06","Tuesday  ","13"
"RJ","2018-05","Thursday ","11"
"RJ","2018-05","Thursday ","11"
"SP","2018-02","Saturday ","18"
"RS","2018-01","Monday   ","13"
"SP","2017-07","Saturday ","00"
"DF","2017-03","Friday   ","14"
"MG","2017-09","Tuesday  ","09"
"RN","2017-11","Sunday   ","00"
"SE","2017-07","Monday   ","22"
"SP","2018-03","Sunday   ","18"
"SP","2018-03","Saturday ","16"
"GO","2017-11","Thursday ","18"
"RS","2017-03","Wednesday","05"
"SP","2018-05","Tuesday  ","17"
"SP","2017-07","Thursday ","10"
"SP","2018-06","Wednesday","21"
"SP","2017-04","Sunday   ","14"
"RJ","2017-09","Monday   ","21"
"SP","2017-08","Thursday ","19"
"RJ","2018-08","Thursday ","12"
"RJ","2017-03","Wednesday","16"
"SP","2017-03","Friday   ","01"
"MG","2017-11","Tuesday  ","15"
"GO","2017-08","Thursday ","19"
"SP","2016-10","Friday   ","02"
"SP","2018-04","Saturday ","13"
"SP","2018-04","Saturday ","13"
"RS","2018-01","Tuesday  ","00"
"SP","2017-11","Wednesday","19"
"SP","2017-11","Wednesday","19"
"SP","2018-08","Monday   ","19"
"SE","2017-08","Tuesday  ","19"
"BA","2018-06","Sunday   ","13"
"BA","2018-06","Sunday   ","13"
"DF","2018-07","Tuesday  ","18"
"RN","2017-05","Sunday   ","16"
"RS","2018-02","Wednesday","21"
"RJ","2017-10","Saturday ","22"
"SP","2017-11","Tuesday  ","10"
"RJ","2017-02","Wednesday","10"
"SP","2018-08","Wednesday","17"
"RS","2018-03","Wednesday","21"
"SP","2018-06","Monday   ","17"
"SP","2017-10","Sunday   ","00"
"PR","2018-02","Monday   ","09"
"SP","2016-10","Friday   ","19"
"MG","2017-07","Sunday   ","17"
"SP","2018-08","Thursday ","13"
"SP","2018-06","Sunday   ","21"
"MG","2018-01","Friday   ","20"
"MG","2017-11","Friday   ","20"
"DF","2018-02","Monday   ","14"
"AL","2017-05","Wednesday","19"
"SP","2017-02","Sunday   ","14"
"RJ","2018-01","Wednesday","19"
"SP","2018-01","Monday   ","23"
"RS","2017-11","Friday   ","14"
"RS","2017-11","Friday   ","14"
"RS","2017-11","Friday   ","14"
"BA","2018-04","Wednesday","10"
"RJ","2017-11","Sunday   ","23"
"SP","2018-05","Tuesday  ","09"
"PI","2018-04","Thursday ","10"
"RJ","2017-05","Tuesday  ","23"
"RJ","2018-07","Tuesday  ","22"
"SP","2018-05","Thursday ","19"
"RS","2017-12","Wednesday","20"
"SP","2018-05","Tuesday  ","09"
"SP","2018-03","Saturday ","10"
"MT","2017-06","Monday   ","13"
"MS","2018-07","Monday   ","13"
"SP","2018-08","Monday   ","14"
"MG","2018-03","Friday   ","18"
"BA","2017-06","Thursday ","16"
"PR","2017-08","Thursday ","11"
"DF","2018-08","Tuesday  ","11"
"SP","2018-01","Thursday ","10"
"SP","2018-01","Thursday ","22"
"PR","2018-01","Friday   ","16"
"MG","2017-11","Friday   ","08"
"RS","2018-02","Monday   ","19"
"SP","2018-08","Thursday ","13"
"SP","2018-08","Thursday ","13"
"SP","2018-05","Friday   ","00"
"SP","2017-06","Friday   ","17"
"DF","2018-01","Thursday ","12"
"SP","2018-05","Wednesday","16"
"MG","2017-10","Wednesday","11"
"SP","2018-08","Saturday ","13"
"SP","2017-05","Saturday ","11"
"BA","2017-08","Sunday   ","14"
"SP","2017-11","Tuesday  ","13"
"SP","2017-11","Tuesday  ","13"
"SP","2018-04","Thursday ","22"
"RJ","2018-03","Sunday   ","23"
"MA","2017-09","Thursday ","16"
"MA","2017-09","Thursday ","16"
"SP","2018-05","Tuesday  ","10"
"SP","2018-03","Thursday ","18"
"SP","2018-03","Thursday ","18"
"RJ","2018-06","Saturday ","23"
"SP","2018-08","Friday   ","19"
"RS","2017-08","Saturday ","17"
"SP","2018-01","Tuesday  ","23"
"ES","2017-11","Wednesday","22"
"RJ","2018-08","Friday   ","15"
"SP","2017-09","Monday   ","07"
"BA","2018-02","Tuesday  ","21"
"BA","2018-02","Tuesday  ","21"
"SP","2017-07","Tuesday  ","19"
"MG","2018-04","Thursday ","11"
"MG","2018-04","Thursday ","11"
"MG","2018-04","Thursday ","11"
"MG","2018-04","Thursday ","11"
"SP","2017-09","Saturday ","21"
"BA","2018-01","Tuesday  ","08"
"PA","2017-06","Monday   ","15"
"BA","2018-02","Thursday ","19"
"SP","2018-02","Saturday ","09"
"RJ","2018-07","Sunday   ","16"
"SP","2017-11","Sunday   ","21"
"SP","2018-08","Monday   ","20"
"SP","2017-08","Sunday   ","15"
"SP","2018-04","Sunday   ","23"
"SP","2018-01","Monday   ","01"
"CE","2017-07","Sunday   ","19"
"RS","2018-05","Wednesday","18"
"SP","2018-04","Friday   ","01"
"SC","2017-04","Thursday ","08"
"SC","2017-04","Thursday ","08"
"PI","2017-12","Tuesday  ","13"
"SP","2017-09","Monday   ","11"
"SP","2017-09","Monday   ","15"
"MT","2017-10","Thursday ","16"
"SP","2017-12","Monday   ","08"
"SP","2017-05","Saturday ","09"
"PR","2018-03","Monday   ","17"
"SP","2018-03","Monday   ","18"
"SP","2018-02","Friday   ","15"
"RJ","2017-03","Saturday ","19"
"MA","2017-07","Thursday ","09"
"SP","2018-08","Tuesday  ","21"
"SP","2018-01","Thursday ","23"
"RJ","2018-04","Tuesday  ","16"
"SP","2018-08","Thursday ","18"
"RS","2018-04","Wednesday","09"
"RS","2018-04","Wednesday","09"
"PR","2017-12","Friday   ","12"
"MG","2018-04","Thursday ","23"
"BA","2018-05","Friday   ","14"
"BA","2018-05","Friday   ","14"
"SP","2018-01","Monday   ","17"
"SP","2018-05","Wednesday","13"
"RJ","2018-05","Wednesday","11"
"SP","2017-12","Tuesday  ","20"
"SC","2018-03","Thursday ","10"
"DF","2017-09","Wednesday","05"
"MG","2018-07","Friday   ","07"
"SP","2017-11","Saturday ","22"
"DF","2017-12","Friday   ","11"
"ES","2018-03","Monday   ","12"
"SP","2018-01","Friday   ","08"
"BA","2018-03","Friday   ","20"
"BA","2017-07","Wednesday","09"
"SP","2017-07","Sunday   ","03"
"AL","2018-06","Monday   ","09"
"SP","2018-06","Tuesday  ","15"
"RJ","2018-08","Friday   ","12"
"SP","2017-11","Sunday   ","18"
"RJ","2017-08","Friday   ","18"
"RJ","2017-11","Tuesday  ","07"
"SP","2017-04","Thursday ","13"
"SC","2018-08","Sunday   ","20"
"ES","2018-06","Friday   ","11"
"SP","2018-03","Sunday   ","17"
"SP","2018-07","Wednesday","10"
"RJ","2018-07","Friday   ","22"
"SC","2017-04","Saturday ","14"
"SP","2017-11","Sunday   ","18"
"SP","2017-11","Sunday   ","18"
"SP","2018-02","Saturday ","18"
"SP","2017-08","Sunday   ","09"
"SP","2017-08","Sunday   ","09"
"RJ","2018-05","Wednesday","13"
"SP","2017-07","Friday   ","10"
"SP","2017-07","Friday   ","10"
"SP","2017-08","Wednesday","13"
"SP","2017-05","Saturday ","22"
"BA","2017-12","Tuesday  ","20"
"MT","2018-05","Saturday ","10"
"SP","2018-07","Wednesday","12"
"SP","2018-01","Saturday ","11"
"PA","2017-09","Monday   ","10"
"SP","2017-05","Monday   ","19"
"CE","2017-05","Sunday   ","22"
"RJ","2017-10","Tuesday  ","09"
"SP","2017-01","Friday   ","14"
"SP","2017-01","Friday   ","14"
"SP","2017-01","Friday   ","14"
"SP","2017-01","Friday   ","14"
"PA","2017-11","Sunday   ","01"
"SP","2018-05","Tuesday  ","21"
"SP","2017-09","Friday   ","05"
"MG","2018-01","Thursday ","14"
"SP","2018-04","Monday   ","12"
"RJ","2018-03","Monday   ","07"
"MG","2018-07","Tuesday  ","19"
"DF","2018-02","Tuesday  ","20"
"RO","2018-04","Tuesday  ","23"
"SP","2018-01","Wednesday","19"
"SP","2017-02","Saturday ","16"
"MG","2017-07","Thursday ","08"
"RS","2017-03","Monday   ","15"
"MG","2018-08","Tuesday  ","10"
"MG","2018-02","Monday   ","00"
"RJ","2018-04","Monday   ","11"
"PR","2017-12","Monday   ","11"
"BA","2017-09","Thursday ","14"
"RO","2017-08","Tuesday  ","15"
"RJ","2018-05","Friday   ","13"
"RJ","2018-05","Friday   ","13"
"PE","2017-07","Sunday   ","21"
"RJ","2018-04","Saturday ","18"
"RJ","2018-04","Saturday ","18"
"RJ","2018-05","Tuesday  ","18"
"RJ","2018-05","Tuesday  ","18"
"RJ","2018-05","Tuesday  ","18"
"BA","2018-03","Thursday ","16"
"SP","2017-05","Friday   ","16"
"SP","2018-06","Saturday ","19"
"RJ","2018-03","Sunday   ","17"
"SP","2017-04","Friday   ","23"
"SP","2018-02","Thursday ","18"
"SP","2018-02","Thursday ","18"
"PR","2017-09","Tuesday  ","17"
"MG","2017-05","Monday   ","14"
"DF","2018-02","Saturday ","19"
"SP","2018-04","Tuesday  ","17"
"SP","2018-04","Tuesday  ","17"
"SP","2017-04","Friday   ","15"
"RJ","2017-12","Monday   ","08"
"SP","2017-04","Sunday   ","19"
"SP","2017-12","Saturday ","00"
"SP","2017-12","Saturday ","00"
"ES","2018-02","Saturday ","19"
"SC","2018-03","Tuesday  ","22"
"SP","2018-08","Monday   ","14"
"SP","2017-12","Friday   ","15"
"BA","2018-08","Wednesday","21"
"MG","2018-03","Saturday ","16"
"RJ","2018-03","Saturday ","10"
"PR","2018-07","Sunday   ","16"
"RJ","2018-05","Tuesday  ","21"
"SP","2018-05","Saturday ","11"
"SP","2017-03","Thursday ","16"
"ES","2018-04","Monday   ","14"
"SP","2018-05","Monday   ","21"
"SP","2017-08","Thursday ","19"
"GO","2017-11","Saturday ","16"
"GO","2017-11","Saturday ","16"
"GO","2017-11","Saturday ","16"
"SP","2018-08","Saturday ","13"
"SP","2017-06","Friday   ","16"
"SP","2018-05","Sunday   ","20"
"SP","2017-12","Wednesday","09"
"MG","2017-09","Thursday ","15"
"SP","2017-10","Sunday   ","16"
"SP","2018-06","Wednesday","04"
"SP","2017-08","Monday   ","22"
"SP","2018-05","Monday   ","09"
"SP","2018-06","Sunday   ","10"
"SP","2018-06","Sunday   ","10"
"MG","2017-10","Tuesday  ","21"
"SC","2017-04","Friday   ","21"
"PR","2017-08","Wednesday","12"
"SP","2018-06","Friday   ","16"
"SP","2017-07","Monday   ","16"
"SP","2017-07","Thursday ","14"
"PR","2017-11","Wednesday","09"
"PR","2017-08","Wednesday","20"
"MT","2018-05","Tuesday  ","17"
"SP","2018-01","Friday   ","15"
"SP","2017-11","Wednesday","10"
"ES","2018-07","Sunday   ","22"
"DF","2017-12","Saturday ","21"
"RS","2017-09","Monday   ","16"
"RS","2017-08","Tuesday  ","15"
"SP","2017-09","Tuesday  ","12"
"MG","2018-02","Friday   ","17"
"RJ","2018-01","Wednesday","20"
"SP","2018-06","Monday   ","18"
"RJ","2018-04","Monday   ","19"
"RJ","2017-09","Sunday   ","15"
"SP","2018-04","Wednesday","22"
"PR","2018-04","Monday   ","09"
"SC","2017-11","Tuesday  ","16"
"MT","2018-05","Thursday ","20"
"RJ","2018-06","Friday   ","07"
"SP","2018-01","Thursday ","10"
"MG","2017-01","Wednesday","11"
"ES","2017-12","Sunday   ","14"
"MA","2018-07","Tuesday  ","18"
"PR","2017-06","Saturday ","11"
"RJ","2017-10","Thursday ","23"
"PB","2018-07","Monday   ","13"
"RJ","2018-06","Saturday ","21"
"AL","2017-08","Tuesday  ","11"
"MG","2017-12","Sunday   ","17"
"SP","2017-09","Saturday ","15"
"SP","2018-07","Tuesday  ","16"
"SP","2018-05","Sunday   ","19"
"SP","2018-02","Monday   ","00"
"RN","2017-10","Wednesday","10"
"SP","2017-03","Sunday   ","22"
"SP","2018-03","Thursday ","22"
"SP","2017-11","Wednesday","13"
"SP","2018-05","Tuesday  ","18"
"RJ","2017-10","Thursday ","21"
"GO","2017-03","Tuesday  ","08"
"PE","2017-02","Wednesday","15"
"MG","2018-05","Wednesday","11"
"AL","2017-06","Friday   ","13"
"RJ","2018-07","Monday   ","17"
"MG","2017-07","Monday   ","18"
"SP","2017-11","Sunday   ","13"
"RJ","2018-01","Thursday ","20"
"SP","2018-04","Friday   ","14"
"SP","2018-04","Friday   ","14"
"SP","2017-12","Tuesday  ","23"
"MG","2017-10","Friday   ","19"
"RJ","2017-07","Tuesday  ","14"
"RJ","2017-04","Tuesday  ","09"
"MG","2018-04","Friday   ","10"
"RO","2017-09","Saturday ","16"
"RJ","2018-08","Monday   ","11"
"RJ","2017-11","Sunday   ","00"
"SP","2017-04","Thursday ","22"
"MG","2017-08","Tuesday  ","22"
"SP","2018-05","Thursday ","01"
"BA","2018-05","Tuesday  ","21"
"BA","2018-05","Tuesday  ","21"
"BA","2018-05","Tuesday  ","21"
"PR","2018-04","Friday   ","10"
"PR","2018-04","Friday   ","10"
"RS","2017-10","Wednesday","11"
"RS","2017-10","Wednesday","11"
"RS","2017-10","Wednesday","11"
"SP","2018-02","Thursday ","09"
"SP","2018-01","Monday   ","18"
"DF","2018-07","Tuesday  ","17"
"DF","2018-07","Tuesday  ","17"
"DF","2018-07","Tuesday  ","17"
"SP","2017-11","Monday   ","19"
"SP","2017-11","Monday   ","19"
"MG","2017-07","Thursday ","14"
"SP","2018-06","Tuesday  ","11"
"SP","2018-03","Thursday ","08"
"PB","2018-07","Sunday   ","17"
"SP","2018-01","Monday   ","10"
"SP","2018-01","Monday   ","10"
"SP","2017-11","Wednesday","09"
"SP","2017-12","Friday   ","11"
"SP","2017-02","Saturday ","15"
"RS","2017-09","Tuesday  ","14"
"ES","2017-12","Tuesday  ","22"
"RS","2018-01","Monday   ","20"
"SP","2017-08","Thursday ","07"
"MG","2018-01","Thursday ","10"
"SP","2018-01","Monday   ","02"
"SP","2018-02","Friday   ","11"
"RJ","2018-07","Saturday ","15"
"SP","2018-03","Friday   ","18"
"SP","2018-03","Friday   ","18"
"AM","2018-01","Sunday   ","11"
"RS","2017-10","Friday   ","10"
"SP","2018-03","Wednesday","15"
"SP","2018-03","Wednesday","15"
"PA","2018-07","Friday   ","11"
"MA","2017-09","Monday   ","15"
"MA","2017-09","Monday   ","15"
"RJ","2018-08","Friday   ","19"
"SP","2017-06","Wednesday","15"
"RS","2017-08","Friday   ","20"
"RS","2017-08","Friday   ","20"
"RS","2017-08","Friday   ","20"
"SP","2017-10","Friday   ","10"
"SP","2017-10","Friday   ","10"
"SP","2017-10","Friday   ","10"
"SP","2017-10","Friday   ","10"
"SP","2017-10","Friday   ","10"
"RJ","2018-03","Monday   ","14"
"MG","2018-02","Monday   ","18"
"RS","2017-12","Sunday   ","22"
"BA","2018-08","Friday   ","13"
"MG","2018-02","Sunday   ","13"
"SP","2018-02","Monday   ","20"
"GO","2018-08","Friday   ","19"
"MG","2018-04","Wednesday","14"
"SC","2017-11","Tuesday  ","19"
"SP","2018-06","Monday   ","01"
"RJ","2017-11","Friday   ","01"
"ES","2018-07","Wednesday","13"
"MG","2018-06","Saturday ","16"
"SP","2018-03","Friday   ","14"
"SP","2018-08","Thursday ","18"
"MS","2017-11","Sunday   ","12"
"SP","2018-04","Monday   ","23"
"SP","2018-04","Monday   ","23"
"BA","2018-04","Tuesday  ","22"
"MG","2017-02","Monday   ","20"
"SP","2018-05","Tuesday  ","22"
"PE","2018-04","Sunday   ","14"
"SC","2017-02","Friday   ","13"
"RJ","2017-10","Sunday   ","22"
"SP","2017-10","Saturday ","15"
"RJ","2018-03","Monday   ","11"
"SP","2017-06","Wednesday","21"
"RJ","2017-11","Tuesday  ","16"
"ES","2017-08","Monday   ","18"
"DF","2017-04","Saturday ","14"
"SP","2018-03","Thursday ","20"
"SP","2017-11","Monday   ","18"
"DF","2018-06","Wednesday","19"
"SP","2017-09","Thursday ","10"
"SP","2018-01","Monday   ","13"
"MT","2018-05","Wednesday","17"
"MT","2018-05","Wednesday","17"
"PB","2018-05","Saturday ","17"
"PA","2018-05","Friday   ","10"
"SP","2018-08","Wednesday","18"
"GO","2018-05","Thursday ","14"
"GO","2018-05","Thursday ","14"
"GO","2018-05","Thursday ","14"
"SC","2018-07","Monday   ","14"
"RJ","2018-01","Thursday ","22"
"SP","2017-09","Sunday   ","10"
"BA","2017-08","Friday   ","17"
"SP","2017-01","Thursday ","20"
"PA","2017-04","Monday   ","16"
"MG","2018-02","Tuesday  ","10"
"SP","2017-11","Monday   ","23"
"RJ","2018-01","Monday   ","18"
"RJ","2018-01","Monday   ","18"
"RS","2017-10","Monday   ","21"
"BA","2017-05","Monday   ","21"
"MG","2018-03","Tuesday  ","15"
"RJ","2017-03","Thursday ","09"
"MG","2017-10","Tuesday  ","16"
"AL","2017-07","Thursday ","21"
"AL","2017-07","Thursday ","21"
"DF","2018-07","Monday   ","12"
"SP","2017-03","Sunday   ","21"
"GO","2018-07","Friday   ","12"
"DF","2017-08","Monday   ","16"
"SP","2017-05","Monday   ","10"
"MG","2018-08","Friday   ","10"
"PR","2018-02","Wednesday","13"
"SP","2018-07","Monday   ","10"
"SP","2017-11","Wednesday","14"
"SP","2017-11","Wednesday","14"
"BA","2018-03","Saturday ","20"
"RJ","2017-05","Friday   ","02"
"PR","2018-05","Tuesday  ","14"
"PR","2018-05","Tuesday  ","14"
